log(n_H),log(fH2)
-1.1200056924734734,-5.879994307526527
-1.1148888139978448,-5.372832308823795
-1.1105349754909768,-5.164094819765545
-1.1095633202339736,-5.030302530644102
-1.10859166497689,-4.932635176540837
-1.107620009719699,-4.856456767729135
-1.1066483544623935,-4.794511846969237
-1.105676699204969,-4.742671340834751
-1.1047050439474233,-4.698360922325546
-1.103733388689755,-4.659866263704129
-1.1027617334319642,-4.625989044364702
-1.1017900781740526,-4.595858728190401
-1.1008184229160223,-4.5688231319488715
-1.0998467676578771,-4.54438125069805
-1.0988751123996217,-4.522140251609848
-1.097903457141259,-4.5017857400012495
-1.0969318018827934,-4.483062831119622
-1.0959601466242301,-4.465761979972301
-1.0949884913655739,-4.449708901470175
-1.09401683610683,-4.43475722375323
-1.0930451808480046,-4.420783082482466
-1.0920735255891019,-4.407680147091002
-1.091101870330126,-4.395357004994514
-1.0901302150710823,-4.3837344377911425
-1.0891585598119757,-4.37274339296634
-1.0881869045528108,-4.362323437451631
-1.0872152492935931,-4.352421544477612
-1.0862435940343258,-4.342990460059951
-1.0852719387750123,-4.333988352211723
-1.08430028351566,-4.325377943083318
-1.0833286282562697,-4.317125931650977
-1.082356972996845,-4.309202534806628
-1.08138531773739,-4.30158110934434
-1.0804136624779066,-4.29423734842623
-1.0794420072183977,-4.2871494030683
-1.078470351958866,-4.2802975016063955
-1.0774986966993145,-4.273663718960233
-1.0765270414397454,-4.267231860077121
-1.0755553861801626,-4.260987276692238
-1.074583730920566,-4.254916380183444
-1.0736120756609582,-4.249006867180674
-1.0726404204013409,-4.243247503683089
-1.0716687651417156,-4.237628021014577
-1.0706971098820848,-4.232139109931702
-1.0697254546224506,-4.226772288934178
-1.0687537993628131,-4.221519581385353
-1.0677821441031732,-4.21637374918894
-1.0668104888435324,-4.211328147876732
-1.0658388335838918,-4.206376673654878
-1.0648671783242531,-4.201513803375742
-1.063895523064617,-4.196734470877651
-1.0629238678049842,-4.192033847745417
-1.0619522125453549,-4.18740755820602
-1.0609805572857296,-4.1828515704923905
-1.060008902026109,-4.178362167725571
-1.0590372467664948,-4.173936008193557
-1.0580655915068877,-4.1695699977409175
-1.057093936247287,-4.165261143957867
-1.056122280987693,-4.161006745136073
-1.055150625728106,-4.1568043033235895
-1.0541789704685267,-4.1526515074998045
-1.0532073152089558,-4.148546302350013
-1.0522356599493938,-4.144486755699897
-1.05126400468984,-4.140470966900769
-1.0502923494302945,-4.136497229875512
-1.0493206941707571,-4.1325639604045215
-1.0483490389112284,-4.128669686166655
-1.0473773836517088,-4.124813117366042
-1.0464057283921988,-4.120993012086587
-1.0454340731326972,-4.11720812468794
-1.0444624178732043,-4.113457345556875
-1.0434907626137198,-4.109739638269921
-1.0425191073542432,-4.106054033652756
-1.041547452094776,-4.1023996980840725
-1.0405757968353178,-4.098775800803453
-1.0396041415758674,-4.095181491081306
-1.0386324863164251,-4.091616018165775
-1.03766083105699,-4.088078675466181
-1.0366891757975623,-4.084568797016478
-1.0357175205381428,-4.081085820651872
-1.034745865278731,-4.077629161338534
-1.0337742100193261,-4.074198207972143
-1.0328025547599273,-4.070792427200444
-1.0318308995005347,-4.067411312583659
-1.0308592442411477,-4.06405438250284
-1.029887588981767,-4.060721236341721
-1.0289159337223925,-4.05741143746422
-1.0279442784630228,-4.054124522068033
-1.0269726232036576,-4.050860090413032
-1.0260009679442963,-4.047617759492594
-1.025029312684939,-4.044397161804732
-1.024057657425586,-4.0411979933457784
-1.0230860021662367,-4.038019908608786
-1.0221143469068898,-4.034862536345379
-1.0211426916475452,-4.03172556123818
-1.0201710363882026,-4.02860867872202
-1.019199381128861,-4.025511594265187
-1.0182277258695216,-4.022434062659699
-1.0172560706101836,-4.019375796446341
-1.016284415350846,-4.016336484884809
-1.0153127600915073,-4.01331586825782
-1.014341104832168,-4.010313694087954
-1.0133694495728276,-4.007329716715913
-1.0123977943134865,-4.004363727688332
-1.0114261390541441,-4.001415478419576
-1.010454483794799,-3.9984846996139725
-1.0094828285354507,-3.995571170255894
-1.008511173276099,-3.992674674485928
-1.007539518016743,-3.9897950013497443
-1.0065678627573833,-3.986931966398875
-1.0055962074980198,-3.9840853487700345
-1.00462455223865,-3.981254909085692
-1.0036528969792746,-3.9784404549906176
-1.0026812417198927,-3.9756417980181262
-1.0017095864605028,-3.9728587534358972
-1.0007379312011069,-3.970091153467127
-0.9997662759417034,-3.9673387982949544
-0.998794620682291,-3.9646014712179536
-0.9978229654228692,-3.961879002393657
-0.9968513101634375,-3.9591712250619553
-0.9958796549039949,-3.9564779754459565
-0.9949079996445422,-3.953799098282936
-0.9939363443850787,-3.9511344105509836
-0.9929646891256025,-3.9484837133903685
-0.9919930338661135,-3.945846855516416
-0.9910213786066104,-3.9432236882182696
-0.9900497233470932,-3.94061406532477
-0.9890780680875615,-3.9380178419085428
-0.9881064128280155,-3.9354348487141646
-0.9871347575684526,-3.9328649012159405
-0.9861631023088724,-3.9303078639448468
-0.9851914470492742,-3.9277636035754777
-0.984219791789657,-3.9252319888761793
-0.9832481365300214,-3.922712884048623
-0.9822764812703664,-3.920206131121592
-0.9813048260106905,-3.9177115573416135
