log(n_H),log(fH2)
-1.1200056924734734,-5.879994307526527
-1.1148325748423944,-5.121893604800421
-1.1104787363336652,-4.881325043961102
-1.1095070810768464,-4.738232304674
-1.1085354258200277,-4.6381721412265415
-1.1075637705632098,-4.562541409336092
-1.1065921153063918,-4.502620624289419
-1.1056204600495756,-4.453620344988025
-1.1046488047927603,-4.412628112901143
-1.103677149535945,-4.37774210585282
-1.10270549427913,-4.347652905034632
-1.101733839022315,-4.3214212454797725
-1.1007621837655008,-4.298350976711513
-1.0997905285086882,-4.277912111870869
-1.0988188732518758,-4.259692139120307
-1.0978472179950634,-4.243363972014976
-1.0968755627382516,-4.228663953981502
-1.0959039074814398,-4.215376553165474
-1.0949322522246299,-4.203323321576067
-1.09396059696782,-4.192354921016626
-1.0929889417110106,-4.182345284575136
-1.0920172864542015,-4.1731870050929825
-1.0910456311973924,-4.164787847101317
-1.0900739759405846,-4.157067999903208
-1.0891023206837775,-4.149957950592745
-1.088130665426971,-4.1433968726321995
-1.0871590101701645,-4.137331330552852
-1.086187354913358,-4.1317140572232915
-1.0852156996565523,-4.126503071595838
-1.084244044399748,-4.121660836334031
-1.0832723891429439,-4.117153814990107
-1.0823007338861401,-4.1129519688219265
-1.0813290786293366,-4.109028217710196
-1.0803574233725333,-4.1053581438310065
-1.0793857681157317,-4.101919560048035
-1.0784141128589306,-4.098692315430011
-1.0774424576021293,-4.09565818931928
-1.0764708023453287,-4.092800592194643
-1.0754991470885278,-4.090104395687538
-1.074527491831729,-4.087555720402055
-1.0735558365749305,-4.0851418376136595
-1.0725841813181318,-4.082851167478659
-1.071612526061334,-4.080673120082568
-1.0706408708045358,-4.0785979856820465
-1.0696692155477392,-4.076616808998309
-1.0686975602909436,-4.074721319730346
-1.0677259050341483,-4.072903966107686
-1.0667542497773528,-4.071157851432472
-1.065782594520558,-4.06947663885791
-1.0648109392637635,-4.067854475838619
-1.063839284006971,-4.066285922266822
-1.0628676287501784,-4.064765996300298
-1.061895973493386,-4.063290182427977
-1.0609243182365937,-4.061854332939974
-1.059952662979802,-4.0604546272219295
-1.0589810077230124,-4.059087482631316
-1.0580093524662226,-4.057749603412469
-1.0570376972094335,-4.056438049177791
-1.0560660419526444,-4.0551501247209885
-1.0550943866958553,-4.0538833610472835
-1.0541227314390686,-4.052635418358179
-1.0531510761822824,-4.051404127655391
-1.0521794209254962,-4.050187592586428
-1.05120776566871,-4.048984088311226
-1.0502361104119244,-4.047792040817681
-1.0492644551551404,-4.046609952488739
-1.0482927998983573,-4.045436417736762
-1.0473211446415744,-4.044270218668735
-1.0463494893847916,-4.0431102760011495
-1.0453778341280087,-4.041955610019092
-1.0444061788712278,-4.0408052877017155
-1.043434523614448,-4.039658408321509
-1.0424628683576682,-4.038514193412098
-1.0414912131008889,-4.037371988051027
-1.0405195578441095,-4.036231201969762
-1.0395479025873313,-4.035091278015256
-1.0385762473305549,-4.033951644041774
-1.0376045920737789,-4.032811798307435
-1.0366329368170029,-4.0316713599963405
-1.0356612815602273,-4.030529989372318
-1.034689626303452,-4.029387377805778
-1.0337179710466793,-4.028243162452566
-1.0327463157899068,-4.027097008638652
-1.0317746605331344,-4.025948708767862
-1.0308030052763621,-4.024798080655675
-1.0298313500195904,-4.023644965117597
-1.028859694762821,-4.022489142037662
-1.0278880395060521,-4.021330388764073
-1.0269163842492837,-4.020168588235536
-1.0259447289925152,-4.019003654744789
-1.0249730737357472,-4.017835516251538
-1.024001418478981,-4.016664050924833
-1.023029763222216,-4.015489107869202
-1.0220581079654512,-4.014310610455023
-1.021086452708687,-4.013128530269633
-1.0201147974519227,-4.011942846677879
-1.01914314219516,-4.010753504722703
-1.0181714869383989,-4.009560394831163
-1.0171998316816382,-4.008363453599858
-1.0162281764248777,-4.00716268548273
-1.0152565211681177,-4.005958099112047
-1.0142848659113584,-4.004749687561154
-1.0133132106546014,-4.003537363621551
-1.012341555397845,-4.002321060522664
-1.0113699001410887,-4.00110080088587
-1.0103982448843325,-3.999876609397478
-1.0094265896275774,-3.998648512512942
-1.0084549343708245,-3.997416437590327
-1.0074832791140722,-3.9961803094018964
-1.0065116238573204,-3.9949401559322526
-1.0055399686005688,-3.9936960104010413
-1.0045683133438175,-3.9924479067549443
-1.0035966580870683,-3.991195801224806
-1.0026250028303207,-3.989939623963436
-1.0016533475735732,-3.988679383765391
-1.000681692316826,-3.9874151183609228
-0.9997100370600795,-3.986146865669724
-0.9987383818033343,-3.9848746090711957
-0.9977667265465912,-3.9835982804735353
-0.9967950712898481,-3.9823178668870405
-0.9958234160331055,-3.981033408570261
-0.9948517607763634,-3.9797449457154714
-0.9938801055196225,-3.978452488795011
-0.9929084502628838,-3.977155969218977
-0.9919367950061457,-3.9758553508952823
-0.9909651397494077,-3.9745506757402818
-0.9899934844926701,-3.973241985492579
-0.9890218292359334,-3.9719293185707993
-0.9880501739791996,-3.9706126043106234
-0.9870785187224664,-3.9692917828488623
-0.9861068634657335,-3.9679668974395987
-0.9851352082090009,-3.966637991113179
-0.9841635529522686,-3.9653051066727385
-0.9831918976955397,-3.9639681968725866
-0.9822202424388111,-3.9626271989937067
-0.9812485871820833,-3.961282134348345
-0.9802769319253559,-3.959933047204996
-0.9793052766686289,-3.9585799815866998
-0.9783336214119037,-3.9572229190588373
-0.9773619661551805,-3.955861794737736
-0.9763903108984576,-3.9544966051240102
-0.9754186556417355,-3.9531273957420683
-0.9744470003850136,-3.951754211857612
-0.9734753451282933,-3.950377065620611
-0.9725036898715752,-3.948995888747974
-0.9715320346148576,-3.9476106525996557
-0.9705603793581404,-3.9462214039930568
-0.969588724101424,-3.9448281894731205
-0.968617068844708,-3.9434310536637094
-0.9676454135879954,-3.9420299236302827
-0.9666737583312832,-3.9406247453194796
-0.9657021030745716,-3.9392155668830524
-0.9647304478178603,-3.937802436184562
-0.9637587925611497,-3.936385400799569
-0.962787137304442,-3.9349644179726644
-0.9618154820477354,-3.933539430196213
-0.9608438267910294,-3.9321104599118395
-0.9598721715343236,-3.9306775563391128
-0.9589005162776187,-3.9292407683916677
-0.9579288610209156,-3.9278000882281914
-0.9569572057642147,-3.92635545331197
-0.9559855505075139,-3.924906859123985
-0.955013895250814,-3.923454356276612
-0.9540422399941144,-3.921997995056182
-0.9530705847374162,-3.920537804905567
-0.9520989294807208,-3.919073716633479
-0.951127274224026,-3.9176056982812066
-0.9501556189673318,-3.916133801891661
-0.9491839637106381,-3.9146580791594796
-0.948212308453945,-3.9131785814315982
-0.9472406531972547,-3.911695252203346
-0.9462689979405657,-3.9102080433588657
-0.9452973426838771,-3.908716993438596
-0.9443256874271893,-3.907222155583452
-0.943354032170502,-3.9057235825626533
-0.9423823769138167,-3.9042212591659404
-0.9414107216571334,-3.9027151295168414
-0.9404390664004505,-3.901205202450847
-0.9394674111437683,-3.8996915325961274
-0.9384957558870868,-3.898174174182871
-0.9375241006304063,-3.896653156398673
-0.9365524453737288,-3.8951284134825843
-0.9355807901170518,-3.893599923877516
-0.9346091348603754,-3.8920677437430093
-0.9336374796036996,-3.890531928812041
-0.932665824347024,-3.888992534392406
-0.9316941690903519,-3.8874495090484427
-0.9307225138336807,-3.885902812249405
-0.9297508585770102,-3.8843524846763815
-0.9287792033203401,-3.8827985836109065
-0.9278075480636705,-3.8812411658788055
-0.9268358928070028,-3.879680230676787
-0.9258642375503373,-3.8781157251692018
-0.9248925822936725,-3.8765476565283103
-0.9239209270370082,-3.87497608363362
-0.9229492717803445,-3.8734010648755937
-0.9219776165236812,-3.8718226541977594
-0.9210059612670213,-3.870240783554654
-0.9200343060103624,-3.868655425695345
-0.9190626507537039,-3.8670666411499175
-0.9180909954970455,-3.8654744899232427
-0.9171193402403878,-3.863879031497693
-0.9161476849837322,-3.8622802498129394
-0.9151760297270786,-3.8606781034060744
-0.9142043744704255,-3.859072616588811
-0.9132327192137727,-3.8574638510340207
-0.9122610639571205,-3.855851867853317
-0.9112894087004688,-3.854236714889489
-0.9103177534438204,-3.852618330931206
-0.9093460981871725,-3.8509967019119538
-0.9083744429305248,-3.8493718912282615
-0.9074027876738777,-3.8477439616733764
-0.9064311324172313,-3.846112975440935
-0.9054594771605865,-3.844478921418977
-0.9044878219039438,-3.8428417642689143
-0.9035161666473014,-3.8412015319835513
-0.9025445113906594,-3.8395582890929916
-0.9015728561340175,-3.8379120994828955
-0.9006012008773763,-3.836263026398257
-0.8996295456207382,-3.8346110073328283
-0.8986578903641003,-3.8329560325717957
-0.8976862351074631,-3.8312981652675377
-0.8967145798508257,-3.8296374710503938
-0.8957429245941889,-3.8279740148627415
-0.8947712693375536,-3.8263078168904583
-0.8937996140809201,-3.8246388377459857
-0.8928279588242871,-3.822967094120946
-0.8918563035676543,-3.8212926534449685
-0.8908846483110217,-3.8196155824079994
-0.8899129930543892,-3.8179359469658825
-0.8889413377977587,-3.8162537329241957
-0.8879696825411296,-3.8145689210272096
-0.8869980272845006,-3.8128815521161803
-0.8860263720278717,-3.811191694679711
-0.8850547167712433,-3.809499416417726
-0.8840830615146146,-3.807804784247739
-0.8831114062579879,-3.806107769021114
-0.8821397510013618,-3.8044083770749326
-0.8811680957447356,-3.8027066675981813
-0.8801964404881097,-3.8010027100734844
-0.8792247852314836,-3.799296573141146
-0.8782531299748577,-3.797588324606315
