log(n_H),log(fH2)
-1.1200056924734734,-5.879994307526527
-1.1204934164626312,-4.3289252792532835
-1.1161395769035476,-4.033886413670029
-1.1117857360682082,-3.858489975186854
-1.1074318938353251,-3.7329852469781724
-1.1030780502664588,-3.6350607439811453
-1.0987242056004969,-3.5546859005265627
-1.0943703601813732,-3.48647957829087
-1.09001651438531,-3.427216610864776
-1.0856626685628992,-3.3748099122118895
-1.0813088230017285,-3.3278303272445435
-1.076954977909866,-3.285255847719817
-1.072601133416112,-3.2463300333530927
-1.0682472895826136,-3.2104773851048005
-1.063893446415971,-3.1772499589669105
-1.0595396038887142,-3.1462912177952647
-1.055185761952233,-3.117313005767167
-1.0508319205492187,-3.090079814730165
-1.0464780796211772,-3.064395504209541
-1.0421242391132242,-3.0400952377923685
-1.0377703989765943,-3.0170400728864775
-1.0334165591690443,-2.9951102109279253
-1.0290627196548707,-2.9742029335368243
-1.0247088804020492,-2.9542286645637836
-1.0203550413828109,-2.935109336036077
-1.0160012025738858,-2.9167757859614603
-1.0116473639555867,-2.8991672401419186
-1.0072935255108375,-2.8822294348054185
-1.0029396872246163,-2.865914121863004
-0.9985858490847502,-2.8501777741356022
-0.9942320110819733,-2.8349814559568425
-0.9898781732067353,-2.8202901246744485
-0.9855243354493118,-2.8060717577162486
-0.9811704977990082,-2.792297453269509
-0.9768166602460946,-2.778940659147789
-0.9724628227815916,-2.76597716472392
-0.9681089853970891,-2.7533848686769
-0.9637551480845868,-2.7411431668458084
-0.9594013108365644,-2.7292333906614377
-0.9550474736458576,-2.7176380994873925
-0.9506936365056895,-2.706341217000482
-0.9463397994096707,-2.6953279657807547
-0.9419859623517152,-2.6845843635670876
-0.9376321253261287,-2.6740976637589062
-0.9332782883274983,-2.6638557353864765
-0.9289244513507448,-2.65384750463039
-0.9245706143910408,-2.6440623767807097
-0.920216777443904,-2.634490667557674
-0.9158629405051051,-2.625123068860669
-0.911509103570745,-2.6159510617188375
-0.9071552666371658,-2.6069664251227023
-0.9028014297010165,-2.5981616247457575
-0.8984475927591717,-2.589529364954253
-0.8940937558087887,-2.581062949134702
-0.8897399188472321,-2.572755874776662
-0.885386081872126,-2.5646021624927626
