log(n_H),log(fH2)
-1.1200056924734734,-5.879994307526527
-1.1148331316300206,-5.127484909549814
-1.1104792931213063,-4.887396670911923
-1.1095076378644817,-4.744419977628738
-1.1085359826076546,-4.644375061503835
-1.1075643273508244,-4.568720331006604
-1.106592672093991,-4.508757889470533
-1.1056210168371554,-4.459707599261572
-1.1046493615803172,-4.4186615239577165
-1.1036777063234764,-4.38372021067798
-1.1027060510666329,-4.353575537892175
-1.1017343958097867,-4.3272889631554
-1.100762740552939,-4.304164735480262
-1.0997910852960906,-4.283673078772058
-1.0988194300392409,-4.26540157400982
-1.0978477747823894,-4.249023160573908
-1.0968761195255374,-4.234274165634116
-1.0959044642686842,-4.220939015801457
-1.094932809011832,-4.20883920998754
-1.0939611537549796,-4.197825345323164
-1.092989498498127,-4.187771286205213
-1.0920178432412742,-4.178569557483622
-1.091046187984422,-4.170127856940839
-1.0900745327275705,-4.162366311930958
-1.0891028774707205,-4.1552153490810895
-1.0881312222138715,-4.148614081968681
-1.0871595669570226,-4.142509020903063
-1.0861879117001747,-4.1368528483083296
-1.0852162564433276,-4.131603523234857
-1.0842446011864828,-4.126723498884399
-1.083272945929639,-4.122179179241153
-1.0823012906727962,-4.117940477710347
-1.0813296354159543,-4.113980304321398
-1.0803579801591132,-4.1102742001355965
-1.0793863249022753,-4.1067999528888075
-1.078414669645438,-4.103537382524021
-1.077443014388602,-4.100468245323813
-1.0764713591317667,-4.097575930866682
-1.0754997038749328,-4.094845291881011
-1.0745280486181008,-4.0922624359676645
-1.0735563933612706,-4.089814619538543
-1.0725847381044409,-4.087490245483389
-1.0716130828476127,-4.085278711547649
-1.0706414275907847,-4.083170296956312
-1.0696697723339592,-4.081156040661026
-1.0686981170771355,-4.079227664905912
-1.0677264618203122,-4.077377605870504
-1.0667548065634902,-4.075598960040582
-1.0657831513066687,-4.073885384565709
-1.064811496049849,-4.072231025795307
-1.063839840793031,-4.0706304409982454
-1.0628681855362139,-4.069078639185501
-1.0618965302793977,-4.067571101402964
-1.060924875022582,-4.0661036769721575
-1.0599532197657668,-4.064672547076273
-1.0589815645089546,-4.063274129493509
-1.0580099092521433,-4.061905120658181
-1.057038253995332,-4.060562578675875
-1.056066598738522,-4.059243807089506
-1.055094943481712,-4.0579463358772845
-1.0541232882249048,-4.056667830743969
-1.053151632968098,-4.055406122610907
-1.0521799777112921,-4.054159308626838
-1.0512083224544868,-4.0529256635951905
-1.0502366671976817,-4.051703613251745
-1.0492650119408786,-4.050491666387351
-1.0482933566840766,-4.049288418468959
-1.0473217014272753,-4.048092644720596
-1.0463500461704742,-4.046903265913934
-1.0453783909136738,-4.045719302427067
-1.0444067356568747,-4.044539828243711
-1.043435080400077,-4.043363944402965
-1.04246342514328,-4.0421908648780205
-1.0414917698864834,-4.041019934952516
-1.0405201146296867,-4.039850564568228
-1.0395484593728914,-4.038682204051055
-1.038576804116098,-4.037514283473448
-1.0376051488593054,-4.036346292711847
-1.0366334936025128,-4.035177851178344
-1.0356618383457206,-4.034008619354443
-1.0346901830889288,-4.0328382951157264
-1.0337185278321395,-4.031666519110681
-1.0327468725753506,-4.030492949732971
-1.0317752173185621,-4.029317377704623
-1.030803562061774,-4.0281396210288065
-1.029831906804986,-4.026959520693758
-1.0288602515482004,-4.025776866218433
-1.0278885962914153,-4.024591435763168
-1.0269169410346306,-4.023403102784793
-1.0259452857778464,-4.022211781725586
-1.0249736305210624,-4.021017400680232
-1.02400197526428,-4.01981984791973
-1.0230303200074988,-4.018618973571711
-1.0220586647507184,-4.017414690631978
-1.0210870094939377,-4.01620697080371
-1.0201153542371577,-4.014995793554458
-1.0191436989803786,-4.013781114583486
-1.0181720437236013,-4.012562825458583
-1.0172003884668244,-4.011340851529919
-1.016228733210048,-4.010115197340088
-1.0152570779532715,-4.008885871597996
-1.0142854226964957,-4.007652878676501
-1.0133137674397226,-4.006416132528287
-1.0123421121829494,-4.005175554284795
-1.0113704569261766,-4.003931166632761
-1.0103988016694043,-4.002682994312221
-1.0094271464126319,-4.0014310638209
-1.008455491155862,-4.0001753152371275
-1.0074838358990932,-3.9989156731781974
-1.006512180642324,-3.997652153240067
-1.0055405253855556,-3.9963847886728465
-1.004568870128787,-3.9951136134415686
-1.0035972148720202,-3.99383859717691
-1.002625559615255,-3.992559669835605
-1.0016539043584896,-3.991276826979154
-1.0006822491017247,-3.9899901063379746
-0.9997105938449602,-3.988699545819487
-0.9987389385881965,-3.9874051429639605
