Z,el,Hplus,ions
1e-05,0.0001014770657318505,0.00010002384700681451,5.250782469930661e-10
3.5938136638046256e-05,0.00010134250227974493,9.990594611013642e-05,8.154981954419222e-10
0.0001291549665014884,0.00010085965582783098,9.947605504481026e-05,1.931173351853708e-09
0.0004641588833612782,9.91424187191378e-05,9.789032200125543e-05,6.686725016463786e-09
0.0016681005372000592,9.320797129608321e-05,9.214874116308768e-05,2.974236708549335e-08
0.005994842503189409,7.233318756533242e-05,7.134833342038286e-05,1.6162381061376303e-07
0.021544346900318846,1.3944807473995844e-05,1.233526381400378e-05,1.1745020273154228e-06
0.07742636826811278,5.214872459216823e-06,2.633993911458193e-06,2.36840704677786e-06
0.2782559402207126,1.0845182293643888e-06,1.0798380649214714e-07,6.808522743959676e-07
1.0,7.910386703143733e-07,2.2738908406420384e-08,4.5439912540783694e-07
