Z,el,Hplus,ions
1e-05,0.00010148211339365944,0.00010002855115657578,5.403505227058462e-10
3.5938136638046256e-05,0.00010135042570005754,9.991368372650498e-05,8.729206486415007e-10
0.0001291549665014884,0.00010087956336603445,9.9496417917544e-05,2.1518318036278435e-09
0.0004641588833612782,9.922546583662901e-05,9.797657386302639e-05,7.619748928776567e-09
0.0016681005372000592,9.375216946757342e-05,9.270520109427959e-05,3.420498380938157e-08
0.005994842503189409,7.743262168100853e-05,7.647552129246524e-05,1.7593726048534118e-07
0.021544346900318846,4.0214191864377174e-05,3.861443807110789e-05,1.0329415659652787e-06
0.07742636826811278,1.3467923158953715e-05,8.222563423490453e-06,4.829269710257221e-06
0.2782559402207126,1.720301490047739e-05,1.296729707849679e-06,1.5585656989953235e-05
1.0,4.459623712644024e-05,1.987623670172163e-07,4.4233825026050944e-05
