Z,O,C,CO,H2O,OH,O2,CH
1e-05,0.9947824632717878,0.9999982452939321,1.5174648199292164e-06,0.00023726560316198543,0.0049802669259283675,4.199121913494568e-09,2.372412479230179e-07
3.5938136638046256e-05,0.9946025810925236,0.999994010892,5.748939815965519e-06,0.0002464962083964604,0.005150907074378938,1.5624700945520674e-08,2.401681839280639e-07
0.0001291549665014884,0.993977707746539,0.99997522095365,2.4528406780436368e-05,0.0002787396027291927,0.005743489792717878,6.285801391933105e-08,2.5063956946877683e-07
0.0004641588833612782,0.9919670469268503,0.9998602047235453,0.00013950776763148635,0.00038402869017168956,0.00764861914317577,3.0523980218144226e-07,2.8750882325182213e-07
0.0016681005372000592,0.9865629640424105,0.9988308794820412,0.0011687102529115666,0.0006748430067487806,0.012760259392106352,1.9335587342505215e-06,4.102650473238361e-07
0.005994842503189409,0.9734190709073478,0.986554975651391,0.013444197587798313,0.0014111789734528243,0.02515243478557122,1.7315333628145675e-05,8.26760810643002e-07
0.021544346900318846,0.8916992829268114,0.5292397767009053,0.4707550855385536,0.006438431479334678,0.1008742346074775,0.000988050986376273,5.13776054109012e-06
0.07742636826811278,0.9355987192549512,0.20946110030239506,0.79052163657646,0.004348123867998349,0.05479658066745842,0.0052565762095917986,1.7263121144726745e-05
0.2782559402207126,0.5907383389333238,0.003047001913143703,0.9969501970894656,0.017709102675522243,0.16697855545821816,0.2245740029329359,2.8009973906960044e-06
1.0,0.6124824875720409,0.0008703384208318283,0.999128019916326,0.011482921972959513,0.03796706266948877,0.3380675277855108,1.6416628420985252e-06
