Z,H2,H
1e-05,0.10105742987885663,0.7978851402422867
3.5938136638046256e-05,0.10308989443950216,0.7938202111209957
0.0001291549665014884,0.10994919786328493,0.7801016042734302
0.0004641588833612782,0.13030370520674733,0.7393925895865054
0.0016681005372000592,0.17634117968760532,0.6473176406247894
0.005994842503189409,0.25034982516847276,0.4993003496630544
0.021544346900318846,0.357403258667686,0.28519348266462796
0.07742636826811278,0.4540291054667795,0.09194178906644099
0.2782559402207126,0.4872009869088361,0.025598026182327656
1.0,0.496270968351995,0.007458063296009861
