Z,O,C,CO,H2O,OH,O2,CH
1e-05,0.9975619748388558,0.9999991274799984,6.432401173892566e-07,0.00011985321734667785,0.0023181711986286647,7.451687319254037e-10,2.2927988426757408e-07
1.8329807108324375e-05,0.9975363662901294,0.9999985689782354,1.2008295402815118e-06,0.00012130934070471452,0.0023423229889212105,1.3802445884253421e-09,2.3019222457282733e-07
3.359818286283781e-05,0.9974899196388507,0.9999974936591464,2.27447593342918e-06,0.0001239545292186218,0.0023861232541971884,2.577733343892396e-09,2.3186492011114136e-07
6.158482110660267e-05,0.9974063966904433,0.9999953483795943,4.416688516008169e-06,0.00012872456880662483,0.0024648738582518227,4.8824982783508416e-09,2.349318897913221e-07
0.00011288378916846884,0.9972584596954118,0.9999908262135603,8.933231644149482e-06,0.0001372138439196242,0.0026043169989898984,9.461678845577624e-09,2.4055479564921925e-07
0.00020691380811147902,0.9970031721415936,0.9999805365622141,1.9212581642719782e-05,0.00015197843672021396,0.002844830454918937,1.896676715695699e-08,2.5085614313269374e-07
0.000379269019073225,0.996581065060915,0.9999549137526669,4.481656287776347e-05,0.00017668613118231155,0.0032422090992045927,3.9708698087485955e-08,2.696844553547631e-07
0.0006951927961775605,0.9959272167026262,0.9998854693444201,0.00011422673242115857,0.00021562223326457292,0.003857074120367885,8.694374124174969e-08,3.039231586964588e-07
0.0012742749857031334,0.9950026901863602,0.9996863643036651,0.000313269951523219,0.0002719839405306186,0.004725129165512657,1.9670759648987773e-07,3.657448115753216e-07
0.002335721469090121,0.9938410680288189,0.9991065441870937,0.00089297862643105,0.00034516861370551596,0.00581331374009033,4.4961738535836134e-07,4.771864752915172e-07
0.004281332398719391,0.9925910795708897,0.9974496691371381,0.0025496474921001605,0.00042826786326035515,0.0069796395833274,1.0129825225952715e-06,6.833707618647465e-07
0.007847599703514606,0.9915783488115667,0.9928976201685878,0.007101276206222357,0.0005044633527796356,0.007914997310784055,2.1905248694539838e-06,1.1036251897872067e-06
0.01438449888287663,0.9915109930311872,0.9815389415298367,0.018458916705844843,0.0005323808388303894,0.007952337367939079,4.288762043156539e-06,2.1417643184728506e-06
0.026366508987303583,0.9932905209539067,0.9615106083123073,0.03848423164579368,0.00044609607472124004,0.006256717383184161,6.665588187867081e-06,5.160041898974283e-06
0.04832930238571752,0.9960721381937361,0.9450809793090924,0.05490528290688944,0.000277973114943661,0.003642310056875534,7.578634444803834e-06,1.3737784018290113e-05
0.08858667904100823,0.9980730442015211,0.9422564744369151,0.05771062593331052,0.00014383196851172915,0.0017760960662709883,7.0277636960833916e-06,3.2899629774250454e-05
0.1623776739188721,0.9990908574972656,0.9464718133518027,0.05346962723286121,7.079672861970093e-05,0.0008322366324843242,6.109141630295094e-06,5.8559415336240294e-05
0.2976351441631319,0.9995815149991237,0.9513461957641826,0.048572381972536965,3.400338311167523e-05,0.0003794063754358252,5.075242328830134e-06,8.142226328035968e-05
0.5455594781168515,0.9998140743133093,0.9533949577256328,0.04650670765926263,1.5941296890758907e-05,0.0001660043139288393,3.980075871237096e-06,9.833461510462836e-05
1.0,0.9999217216447435,0.9452490984845767,0.0546462055246788,7.2026400166449976e-06,6.820876799590778e-05,2.866947243998052e-06,0.000104695990744501
