Z,el,Hplus,ions
1e-05,0.00010267437284727371,0.00010084791215402971,5.078322576567854e-10
1.8329807108324375e-05,0.0001026265089203986,0.00010080955686117987,6.09429330806812e-10
3.359818286283781e-05,0.00010253910308319044,0.00010073907534774879,7.987219593197862e-10
6.158482110660267e-05,0.00010237995396082123,0.00010060936273897418,1.1556721839756248e-09
0.00011288378916846884,0.00010209160614247581,0.00010037023998328776,1.8416584056162345e-09
0.00020691380811147902,0.00010157332517128818,9.992920028830647e-05,3.195912841179505e-09
0.000379269019073225,0.00010065280112527106,9.91188677936327e-05,5.9575260279178426e-09
0.0006951927961775605,9.904414066623632e-05,9.764843904799431e-05,1.1767367607934057e-08
0.0012742749857031334,9.628762165422111e-05,9.504015274749054e-05,2.4274934998427764e-08
0.002335721469090121,9.166098251640557e-05,9.054486534402066e-05,5.1621152750493834e-08
0.004281332398719391,8.404710217840027e-05,8.301431102926239e-05,1.1253299845485234e-07
0.007847599703514606,7.186638356836093e-05,7.082247365941573e-05,2.531069289938363e-07
0.01438449888287663,5.405856321189671e-05,5.2800258725328457e-05,5.904760960820806e-07
0.026366508987303583,3.3985143388008654e-05,3.206517083104723e-05,1.3660800332202023e-06
0.04832930238571752,1.9207604400275987e-05,1.583489771126303e-05,2.90403883801839e-06
0.08858667904100823,1.2782226643520209e-05,6.8276043644816295e-06,5.541339138369708e-06
0.1623776739188721,1.2951885314334062e-05,2.8406045810830274e-06,9.739602806408257e-06
0.2976351441631319,1.8161101911513206e-05,1.2057317519036063e-06,1.662552481663593e-05
0.5455594781168515,2.869904952547762e-05,5.196037432801377e-07,2.7902943052262503e-05
1.0,4.589792129388743e-05,2.1389273532508554e-07,4.5490041645318894e-05
