Z,H2,H
1e-05,0.0971199779798372,0.8057600440403256
1.8329807108324375e-05,0.09781111608616055,0.8043777678276789
3.359818286283781e-05,0.0990607057560748,0.8018785884878503
6.158482110660267e-05,0.10129556378637333,0.7974088724272533
0.00011288378916846884,0.10521833822123919,0.7895633235575216
0.00020691380811147902,0.1118943607293414,0.7762112785413172
0.000379269019073225,0.12272904952947766,0.7545419009410447
0.0006951927961775605,0.139188435153064,0.721623129693872
0.0012742749857031334,0.16224384725908586,0.6755123054818284
0.002335721469090121,0.1918829537860302,0.6162340924279397
0.004281332398719391,0.2273440218801069,0.5453119562397862
0.007847599703514606,0.2686842698615568,0.4626314602768865
0.01438449888287663,0.31866786721049223,0.36266426557901565
0.026366508987303583,0.3765497996971482,0.24690040060570353
0.04832930238571752,0.42717450960075726,0.14565098079848554
0.08858667904100823,0.45992603422711015,0.08014793154577976
0.1623776739188721,0.4782270137052128,0.04354597258957435
0.2976351441631319,0.48811038795412326,0.023779224091753422
0.5455594781168515,0.4934251805597556,0.013149638880488793
1.0,0.49629909665475036,0.00740180669049928
