Z,H2,H
1e-05,0.10109592595994568,0.7978081480801086
3.5938136638046256e-05,0.10310486521184212,0.7937902695763158
0.0001291549665014884,0.10985865642641031,0.7802826871471793
0.0004641588833612782,0.12961710707961877,0.7407657858407625
0.0016681005372000592,0.1721018694627754,0.6557962610744492
0.005994842503189409,0.23117154922339103,0.537656901553218
0.021544346900318846,0.35303709196292093,0.29392581607415824
0.07742636826811278,0.4591043177686858,0.08179136446262837
0.2782559402207126,0.48972087610387843,0.020558247792243182
1.0,0.4972865424918799,0.0054269150162402635
