log(n_H),log(fH2)
-1.1200056924734734,-5.879994307526527
-1.1148331316300206,-5.127484909549814
-1.1104792931212875,-4.887396665523862
-1.1095076378644655,-4.744419979795753
-1.1085359826076424,-4.644375066629885
-1.107564327350818,-4.568720337096002
-1.106592672093992,-4.508757895458609
-1.105621016837166,-4.4597076044973365
-1.1046493615803388,-4.418661528000741
-1.1036777063235101,-4.383720213205051
-1.1027060510666804,-4.353575538649837
-1.1017343958098493,-4.327288961933977
-1.1007627405530178,-4.304164732098748
-1.0997910852961867,-4.283673073069071
-1.0988194300393548,-4.265401565837677
-1.0978477747825224,-4.2490231497943824
-1.0968761195256893,-4.234274152115868
-1.0959044642688562,-4.220938999418273
-1.0949328090120245,-4.208839190617339
-1.0939611537551925,-4.197825322847249
-1.0929894984983608,-4.187771260507353
-1.0920178432415288,-4.178569528449548
-1.0910461879846975,-4.170127824457938
-1.0900745327278671,-4.162366275888191
-1.0891028774710378,-4.155215309368998
-1.088131222214209,-4.148614038491147
-1.0871595669573804,-4.142508973552521
-1.0861879117005526,-4.136852796978282
-1.0852162564437253,-4.131603467819899
-1.0842446011869,-4.1267234392804095
-1.0832729459300756,-4.122179115345287
-1.0823012906732512,-4.117940409420769
-1.081329635416428,-4.113980231537301
-1.080357980159605,-4.110274122757221
-1.0793863249027846,-4.106799870817719
-1.0784146696459647,-4.1035372956632425
-1.0774430143891454,-4.100468153577507
-1.0764713591323265,-4.0975758341401844
-1.0754997038755088,-4.094845190080876
-1.0745280486186928,-4.0922623290018825
-1.0735563933618777,-4.089814507316709
-1.072584738105063,-4.087490127916521
-1.0716130828482489,-4.085278588548129
-1.0706414275914358,-4.083170168437933
-1.069669772334624,-4.081155906539147
-1.0686981170778136,-4.079227525097662
-1.0677264618210038,-4.077377460294685
-1.0667548065641947,-4.0755988086175305
-1.0657831513073859,-4.073885227217319
-1.0648114960505781,-4.072230862445127
-1.0638398407937724,-4.070630271571702
-1.0628681855369673,-4.069078463609885
-1.0618965302801626,-4.067570919607189
-1.060924875023358,-4.066103488886771
-1.0599532197665544,-4.0646723526334725
-1.0589815645097527,-4.063273928627402
-1.058009909252952,-4.061904913304831
-1.0570382539961511,-4.060562364772971
-1.056066598739351,-4.059243586576348
-1.0550949434825514,-4.0579461086947735
-1.0541232882257536,-4.056667596834811
-1.0531516329689568,-4.055405881919698
-1.0521799777121603,-4.054159061099764
-1.051208322455364,-4.052925409179942
-1.0502366671985683,-4.051703351897484
-1.0492650119417741,-4.050491398044853
-1.0482933566849812,-4.049288143090723
-1.0473217014281888,-4.048092362260622
-1.0463500461713966,-4.046902976327546
-1.0453783909146044,-4.045719005670871
-1.044406735657814,-4.044539524275667
-1.0434350804010248,-4.043363633182541
-1.0424634251442362,-4.04219054636605
-1.0414917698874477,-4.04101960911093
-1.0405201146306595,-4.039850231360012
-1.0395484593738722,-4.038681863440254
-1.038576804117087,-4.037513935425373
-1.037605148860302,-4.036345937193014
-1.0366334936035175,-4.035177488156124
-1.0356618383467333,-4.034008248797024
-1.034690183089949,-4.032837916992053
-1.0337185278331678,-4.031666133390713
-1.0327468725763869,-4.030492556387688
-1.0317752173196058,-4.029316976705639
-1.0308035620628253,-4.028139212348307
-1.029831906806045,-4.0269591043044555
-1.0288602515492669,-4.025776442093755
-1.0278885962924897,-4.024591003877327
-1.0269169410357126,-4.0234026631124875
-1.0259452857789362,-4.02221133424186
-1.0249736305221597,-4.021016945360433
-1.0240019752653848,-4.019819384739641
-1.0230303200086115,-4.018618502507683
-1.0220586647518384,-4.017414211660715
-1.0210870094950657,-4.016206483902061
-1.020115354238293,-4.01499529869937
-1.0191436989815217,-4.013780611752069
-1.0181720437247521,-4.012562314628323
-1.017200388467983,-4.011340332678548
-1.0162287332112139,-4.010114670445288
-1.0152570779544454,-4.008885336637363
-1.0142854226976774,-4.007652335627536
-1.0133137674409118,-4.006415581368689
-1.0123421121841465,-4.005174994992416
-1.0113704569273816,-4.003930599185222
-1.0103988016706171,-4.002682418686885
-1.0094271464138527,-4.001430479994834
-1.0084554911570909,-4.0001747231873805
-1.00748383590033,-3.998915072881823
-1.006512180643569,-3.997651544673777
-1.0055405253868086,-3.9963841718129207
-1.0045688701300481,-3.9951129882638203
-1.0035972148732897,-3.9938379636568864
-1.0026255596165328,-3.9925590279486927
-1.0016539043597759,-3.9912761767003064
-1.0006822491030194,-3.989989447641539
-0.9997105938462636,-3.98869887867917
-0.9987389385895086,-3.9874044673529454
