log(n_H),log(fH2)
-1.1200056924734734,-5.879994307526527
-1.1148888139978448,-5.372832308823795
-1.1105349754889717,-5.164094309463403
-1.1095633202320547,-5.030303907058717
-1.1085916649750964,-4.932637554467165
-1.1076200097180813,-4.856459741043157
-1.1066483544610064,-4.794515195075303
-1.1056766992038696,-4.742674929852812
-1.1047050439466704,-4.6983646642113746
-1.1037333886894067,-4.659870096836743
-1.1027617334320792,-4.625992923265661
-1.1017900781746888,-4.595862617774425
-1.1008184229172364,-4.568827004078374
-1.0998467676597237,-4.544385082041446
-1.0988751124021545,-4.5221440222465965
-1.0979034571445292,-4.501789432486411
-1.0969318018868501,-4.483066429764608
-1.0959601466291204,-4.465765470386509
-1.0949884913713417,-4.449712270232345
-1.0940168361135176,-4.434760458189787
-1.0930451808556512,-4.4207861705063225
-1.0920735255977447,-4.4076830770831785
-1.0911018703398003,-4.395359765656609
-1.0901302150818202,-4.383737018074838
-1.0891585598238072,-4.372745782021084
-1.0881869045657642,-4.3623256246019215
-1.0872152493076936,-4.352423519206875
-1.0862435940495976,-4.342992212000663
-1.0852719387914773,-4.3339898710891696
-1.0843002835333366,-4.32537921920256
-1.0833286282751764,-4.317126954870703
-1.0823569730169982,-4.30920329508263
-1.0813853177588046,-4.301581596739158
-1.0804136625005965,-4.294237553119044
-1.079442007242375,-4.287149315321513
-1.0784703519841414,-4.280297111770216
-1.0774986967258975,-4.27366301747783
-1.0765270414676447,-4.267230837505331
-1.075555386209385,-4.260985923715214
-1.0745837309511184,-4.254914687624266
-1.073612075692846,-4.249004825974905
-1.0726404204345683,-4.2432451048844895
-1.0716687651762866,-4.237625255800542
-1.0706971099180023,-4.232135969623404
-1.0697254546597168,-4.22676876500796
-1.0687537994014293,-4.221515665481105
-1.0677821441431405,-4.216369433085443
-1.0668104888848517,-4.211323423495296
-1.065838833626563,-4.206371533062462
-1.064867178368275,-4.201508238802319
-1.0638955231099896,-4.1967284747242175
-1.0629238678517055,-4.192027412588114
-1.061952212593423,-4.187400676771885
-1.060980557335143,-4.182844235660212
-1.0600089020768655,-4.178354372526311
-1.0590372468185918,-4.173927745824733
-1.0580655915603216,-4.169561261571727
-1.0570939363020553,-4.1652519275294
-1.0561222810437925,-4.16099704213725
-1.0551506257855334,-4.1567941075898
-1.0541789705272782,-4.152640813011236
-1.0532073152690278,-4.1485351032435585
-1.0522356600107825,-4.144475046272434
-1.0512640047525417,-4.1404587416063166
-1.050292349494305,-4.136484483301706
-1.0493206942360729,-4.132550687269817
-1.0483490389778451,-4.128655881317361
-1.0473773837196227,-4.124798775786438
-1.0464057284614057,-4.120978128901436
-1.0454340732031928,-4.117192695157497
-1.0444624179449848,-4.113441365054304
-1.0434907626867813,-4.109723102277805
-1.0425191074285818,-4.106036937759547
-1.041547452170388,-4.10238203799305
-1.0405757969121991,-4.098757572335303
-1.0396041416540145,-4.0951626901677765
-1.038632486395834,-4.091596640828298
-1.0376608311376574,-4.0880587178122445
-1.0366891758794847,-4.084548255236006
-1.035717520621317,-4.0810646910254835
-1.0347458653631534,-4.077607440240743
-1.0337742101049938,-4.074175891864251
-1.0328025548468374,-4.07076951261045
-1.0318308995886842,-4.067387796102835
-1.0308592443305342,-4.06403026078235
-1.0298875890723878,-4.06069650610041
-1.0289159338142453,-4.057386095492663
-1.0279442785561055,-4.054098565221135
-1.026972623297968,-4.050833515591166
-1.0260009680398325,-4.047590563638531
-1.0250293127816992,-4.044369341900625
-1.0240576575235685,-4.041169546420714
-1.0230860022654407,-4.037990831743929
-1.0221143470073142,-4.034832826666353
-1.0211426917491888,-4.031695215897223
-1.0201710364910646,-4.0285776948953
-1.019199381232941,-4.025479969150181
-1.018227725974819,-4.022401793482553
-1.0172560707166982,-4.019342880467978
-1.0162844154585777,-4.016302919393258
-1.015312760200457,-4.013281650551202
-1.0143411049423363,-4.0102788214721485
-1.0133694496842147,-4.007294186502254
-1.0123977944260936,-4.004327537200805
-1.0114261391679722,-4.001378625001753
-1.0104544839098495,-3.998447180621331
-1.009482828651725,-3.995532983039383
-1.0085111733935994,-3.9926358163898867
-1.0075395181354714,-3.9897554697098383
-1.0065678628773418,-3.9868917585490933
-1.005596207619211,-3.9840444620503073
-1.004624552361077,-3.9812133408341825
-1.0036528971029401,-3.9783982025276403
-1.0026812418448001,-3.9755988586442026
-1.001709586586656,-3.9728151244298155
-1.0007379313285092,-3.970046832092721
-0.9997662760703596,-3.9672937818092224
-0.9987946208122052,-3.9645557568633447
-0.9978229655540456,-3.961832587382085
-0.9968513102958813,-3.9591241065728893
-0.9958796550377114,-3.9564301506245028
-0.9949079997795364,-3.9537505642463646
-0.9939363445213569,-3.9510851643972056
-0.9929646892631706,-3.948433752190227
-0.991993034004978,-3.9457961762975704
-0.991021378746778,-3.943172287963182
-0.9900497234885708,-3.9405619409686166
-0.9890780682303566,-3.937964990345496
-0.9881064129721355,-3.9353812668061567
-0.9871347577139059,-3.9328105857849533
-0.9861631024556672,-3.930252811756461
-0.9851914471974195,-3.927707811336779
-0.9842197919391618,-3.9251754532336385
-0.9832481366808948,-3.9226556015940437
-0.9822764814226189,-3.920148098401065
