Z,O,C,CO,H2O,OH,O2,CH
1e-05,0.9947824632726522,0.9999982452939331,1.5174648189964158e-06,0.0002372656031176747,0.0049802669251081885,4.199121911333596e-09,2.3724124790919232e-07
3.5938136638046256e-05,0.9946025810925944,0.9999940108919997,5.748939816459143e-06,0.00024649620826282275,0.005150907074441654,1.562470094683777e-08,2.401681838513876e-07
0.0001291549665014884,0.9939777077464308,0.9999752209536525,2.4528406780612273e-05,0.0002787396027336633,0.005743489792821497,6.285801391946831e-08,2.506395669620614e-07
0.0004641588833612782,0.9919670469274636,0.9998602047235484,0.00013950776762791303,0.00038402869008770515,0.007648619142646555,3.0523980217694965e-07,2.8750882368070165e-07
0.0016681005372000592,0.9865629640421721,0.9988308794819963,0.0011687102529564638,0.0006748430067622552,0.012760259392331445,1.933558734243578e-06,4.102650473279779e-07
0.005994842503189409,0.9734190708950922,0.9865549756408516,0.01344419759833728,0.0014111789741433197,0.02515243479712592,1.731533363851146e-05,8.267608110953237e-07
0.021544346900318846,0.8916992829293245,0.5292397767131488,0.4707550855263198,0.006438431479167701,0.10087423460518517,0.0009880509863225404,5.137760531309251e-06
0.07742636826811278,0.935598720576901,0.20946110543005092,0.7905216314487452,0.004348123780165842,0.054796579561426195,0.00525657608150685,1.7263121203879345e-05
0.2782559402207126,0.5907383600490669,0.003047002116033884,0.9969501968865488,0.017709102248537393,0.16697854548749863,0.22457399221489718,2.800997417233435e-06
1.0,0.6124824617231621,0.0008703383599393988,0.9991280199770731,0.011482921061479523,0.03796706659721079,0.33806755061814747,1.641662987449876e-06
