log(n_H),log(fHD)
-0.999960567634108,-4.477134283358691
-1.0746898625391514,-4.42444801961582
-1.0301370729423296,-4.3113801112500605
-1.0203712580001252,-4.194157199746252
-1.010605443013734,-4.088242744401072
-1.0008396280084813,-3.999511903631074
-0.9910738130079045,-3.928363681030156
-0.9813079980321504,-3.873544995956226
-0.9715421830959973,-3.833288698187491
-0.9617763682062985,-3.8054218364907255
-0.9520105533597943,-3.7871525597377085
-0.9422447385431982,-3.774990036877329
-0.9324789237369768,-3.7651304954019142
-0.9227131089216521,-3.7542823574266455
-0.9129472940832456,-3.74045324925299
-0.9031814792149544,-3.7231308379238945
-0.8934156643154736,-3.702843208324091
-0.8836498493862107,-3.6805221919091955
-0.8738840344293427,-3.6570651678164476
-0.8641182194471679,-3.6331682597978867
-0.854352404442125,-3.6093163875505194
-0.8445865894169169,-3.585827448254629
-0.8348207743743961,-3.562894974200546
-0.8250549593174124,-3.540631248169928
-0.8152891442485803,-3.519092574529806
-0.8055233291701074,-3.498298244735559
-0.7957575140837729,-3.4782436830704664
-0.7859916989909508,-3.458909114790204
-0.7762258838927842,-3.440268333287865
-0.766460068790185,-3.422289606436711
-0.7566942536839324,-3.404939834698562
-0.7469284385747355,-3.3881866394659537
-0.7371626234631661,-3.3719968368843696
-0.7273968083497305,-3.356339892363828
-0.7176309932348742,-3.341187686645434
-0.7078651781189911,-3.326514378704974
-0.6980993630024297,-3.3122961798554424
-0.6883335478854709,-3.298510349443866
-0.6785677327683463,-3.2851354481034583
-0.668801917651381,-3.2721545140624273
-0.6590361025347056,-3.2595470075184676
-0.6492702874186136,-3.247298771466215
-0.6395044723031431,-3.2353905179621
-0.6297386571884209,-3.2238067981133156
-0.619972842074469,-3.2125313651106335
-0.6057035802194805,-3.2014578153850204
-0.5822412049475714,-3.190442718347258
-0.5507916290256599,-3.179428740830169
-0.5146816343879635,-3.1684125859301773
-0.4750596235539148,-3.1573703721100252
-0.43217956159594384,-3.146272404662094
-0.3876267713656084,-3.1351128480685655
-0.34307398111530857,-3.1239037489670207
-0.2985211908292616,-3.112629942851458
-0.25396840050605723,-3.1012776233204744
-0.20941561014478807,-3.089836705207704
-0.164862819744341,-3.0782927733189385
-0.12031002930391206,-3.0666333647147015
-0.07575723882277896,-3.054845615346563
-0.031204448300248953,-3.042916348125657
0.013348342264246558,-3.030832792860919
0.05790113287136053,-3.0185810139239986
0.10245392352134747,-3.006148885365589
0.1470067142136994,-2.993526541560115
0.1915595049475618,-2.9807032030007754
0.23611229572167833,-2.9676668000191784
0.2806650865343444,-2.954403288943298
0.3252178773835429,-2.94089557463054
0.3697706682669746,-2.9271227962735193
0.4143234591825262,-2.9130572098393346
0.4588762501287974,-2.8986612034905948
0.503429041106191,-2.8838821945525788
0.5479818321197865,-2.8686426613129377
0.5925346231790694,-2.8528374484515475
0.6370874142983761,-2.836321475716319
0.6816402054991155,-2.818886684335818
0.726192996820161,-2.8002187853256095
0.7707457883195964,-2.7798657396932813
0.8152985800746192,-2.75716816942024
0.8598513722013743,-2.731209384427818
0.9044041648536528,-2.7007464438654667
0.9489569582388366,-2.664140555997537
0.9935097526417808,-2.6195035995172007
1.03806254841573,-2.565418537169972
1.0826153459693937,-2.501252350768183
1.1271681457174556,-2.427883467230061
1.171720947972594,-2.3479673684163216
1.2162737528400434,-2.2653054014543854
1.260826560356267,-2.182766736199019
1.30537937072017,-2.1014723150870203
1.3499321845189918,-2.021039029859752
1.3944850030160514,-1.9397869985500251
1.4390378281570733,-1.8560487402961374
1.4835906625650723,-1.7687483895708143
1.5281435095828342,-1.6775279035369586
1.5726963731752737,-1.58288435776727
1.6172492580485753,-1.4856975210351147
1.6618021700813002,-1.386722049194201
1.7063551151097425,-1.2875396288699603
1.7509080978671143,-1.190193642853524
1.7954611200985195,-1.0970854950788207
1.8400141785372734,-1.0106902622354412
1.8845672640765827,-0.9330743980880265
1.929120361781588,-0.8657825110286774
1.973673453907399,-0.8094750800138326
2.01822652458144,-0.7638022096555404
2.0627795632901873,-0.7276176645232966
2.1073325648327184,-0.6994958051804777
2.1518855284383327,-0.6780034966471968
2.1964384563913906,-0.6618414020042857
2.240991353019045,-0.6498627535147558
2.285544224048733,-0.6410386671572745
2.3300970751870924,-0.6345333844438017
2.374649911463648,-0.6296961471984163
2.419202736857415,-0.6260516832797838
2.463755554412556,-0.6232550997556796
2.5083083663148886,-0.6210687434586268
2.5528611743418423,-0.6193034239030044
2.5974139797144726,-0.6178347660962349
2.6419667832570006,-0.6165813309204168
2.6865195855472166,-0.6154879926631436
2.731072387006675,-0.6145164579931028
2.77562518795472,-0.6136396328756594
2.8201779886409017,-0.6128381853399114
2.863781125241796,-0.6120998754139504
2.9040461241768925,-0.6114191279592732
2.941889779121265,-0.6107899662177221
2.9778065510432428,-0.6102091209825034
3.0118798818967214,-0.6096747002749093
3.043955516573036,-0.6091856284011067
3.0734348660007234,-0.6087436505926184
3.099891891028496,-0.6083518134943507
3.1240870722187024,-0.6080124268918905
3.146121986995428,-0.6077270242811035
3.1660888843225754,-0.6074949819466362
3.184016945861356,-0.607313057831972
3.19988230774943,-0.6071756401856672
3.213568834875287,-0.6070755842445924
3.2247794514636023,-0.6070052512166244
3.2345452594822426,-0.6069572699422476
3.24431106920161,-0.6069253320923281
3.254076880446738,-0.6069045153035094
3.263842692909973,-0.6068911338347088
3.273608506257591,-0.6068825712255481
3.2833743202003633,-0.6068770567626687
