log(n_H),log(fHD)
-0.999960567634108,-4.477134283358691
-1.0746341802971826,-4.55471582995325
-1.0300813909341962,-4.622285882618413
-1.0203155762683271,-4.6688580715759
-1.0105497615852352,-4.695166300614715
-1.0007839468891202,-4.7033908127945665
-0.991018132184123,-4.698537435491718
-0.9812523174739353,-4.6862732331544334
-0.9714865027611372,-4.670747944834193
-0.9617206880466985,-4.653593573544454
-0.9519548733298203,-4.634005829327859
-0.9421890586085688,-4.610006960611886
-0.9324232438810155,-4.580173020044545
-0.9226574291460886,-4.544607183716271
-0.9128916144036542,-4.504636841064304
-0.9031257996540821,-4.461932243972305
-0.8933599848978211,-4.417895578698674
-0.8835941701352013,-4.373498259188895
-0.8738283553663941,-4.329347073121499
-0.864062540591443,-4.285799100098617
-0.8542967258103005,-4.243053908730029
-0.8445309110228524,-4.201213514611188
-0.8347650962289411,-4.160321696067757
-0.8249992814283804,-4.120388859709248
-0.8152334666209747,-4.081408767104088
-0.8054676518065279,-4.043367717585971
-0.7957018369848524,-4.006248823884734
-0.7859360221557796,-3.9700360143201294
-0.7761702073191731,-3.9347166067488266
-0.7664043924749362,-3.900281747332818
-0.7566385776230191,-3.86672604780148
-0.7468727627634423,-3.83405037707618
-0.7371069478962966,-3.8022594125061997
-0.7273411330217523,-3.77136108971719
-0.7175753181400657,-3.7413659977463873
-0.7078095032515844,-3.7122867875472885
-0.6980436883567618,-3.6841389019141957
-0.6882778734561488,-3.6569382796498453
-0.6785120585504087,-3.6307026997147105
-0.6687462436403087,-3.605450115529769
-0.6589804287266845,-3.581194562354392
-0.6492146138103502,-3.5579377406336103
-0.6394487988921257,-3.5356751907887283
-0.6296829839725875,-3.5143742949881425
-0.6199171690520879,-3.4939831167700697
-0.6061511195556574,-3.4742835778916583
-0.578723588587752,-3.4547759351559493
-0.5409705573814386,-3.435336831643268
-0.49905608856821015,-3.416035643324672
-0.45450329888693386,-3.3969191223953956
-0.40995050919827003,-3.378100294252954
-0.3653977195031237,-3.3596453520275533
-0.3208449298025063,-3.3416074000649156
-0.27629214009729886,-3.3240215625266187
-0.23173935038822202,-3.3069063050015592
-0.1871865606758579,-3.290267743104075
-0.14263377096056779,-3.274097382480169
-0.09808098124256945,-3.258378892648652
-0.05352819152203354,-3.24309427984922
-0.008975401799133273,-3.228226679926536
0.035577387926134206,-3.2137519294385126
0.0801301776538687,-3.1996434053039478
0.12468296738419479,-3.185875749067525
0.1692357571172377,-3.1724256993504985
0.21378854685304702,-3.1592750061004775
0.2583413365917611,-3.1464033602792485
0.3028941263335086,-3.133792526790915
0.34744691607840583,-3.1214261682778233
0.3919997058265605,-3.1092895940424516
0.43655249557807235,-3.097369436333625
0.4811052853330413,-3.0856533542195805
0.525658075091453,-3.074133576148583
0.570210864853304,-3.0628024100309776
0.6147636546186752,-3.051649992915024
0.6593164443876867,-3.040665928360177
0.703869234160497,-3.0298394014534664
0.7484220239368186,-3.0191730437997544
0.7929748137166331,-3.0086613621174987
0.8375276034998618,-2.9983008243201374
0.8820803932868058,-2.9880781083462136
0.9266331830774297,-2.9779895004740347
0.9711859728715473,-2.9680350263419437
1.015738762669081,-2.958211727879146
1.060291552470586,-2.9485021146405828
1.1048443422758834,-2.9389067739537977
1.149397132084936,-2.9294224873051715
1.1939499218982776,-2.9200339852189416
1.2385027117162972,-2.9107302208154415
1.2830555015391045,-2.9015061198086407
1.3276082913673235,-2.8923463931210134
1.3721610812018439,-2.8832320781141085
1.4167138710431952,-2.8741513893705646
1.4612666608924438,-2.8650829571895597
1.5058194507509453,-2.8560027871173865
1.5503722406199978,-2.8468875605024095
1.5949250305014504,-2.837705879202485
1.6394778203971754,-2.8284302734271867
1.6840306103096445,-2.8190218618510663
1.7285834002417533,-2.80943858929793
1.7731361901960945,-2.799649339114158
1.8176889801767646,-2.7895974592751434
1.8622417701877163,-2.7792363262416506
1.9067945602325855,-2.768530982803128
1.9513473503174228,-2.757409888257627
1.995900140446602,-2.7458398645179805
2.040452930625181,-2.7337829687256376
2.085005720861052,-2.7211644975164435
2.129558511156921,-2.7080018709881615
2.174111301519882,-2.6942506110900344
2.2186640919589338,-2.6798503805420952
2.263216882473822,-2.6648821776558425
2.307769673073173,-2.6493053762965553
2.3523224637582056,-2.633186298813248
2.39687525453002,-2.6165902088370983
2.441428045395102,-2.599515977540586
2.485980836344981,-2.5821378793716763
2.530533627384053,-2.564469332660163
2.5750864184995774,-2.5467041672820754
2.619639209692872,-2.5288688123750336
2.664192000946987,-2.511162419591076
2.708551282108204,-2.493629098994945
2.752307719289536,-2.4764968825692835
2.7955168101128525,-2.4597988051359128
2.8381838486453943,-2.4437061005388516
2.88025919166353,-2.4282441195598303
2.9217069496732004,-2.4135332284418087
2.962514991218023,-2.399571038505776
3.0026684852809673,-2.386362621108096
3.0421960277810376,-2.373990848613888
3.0810671187902834,-2.3623869258833157
3.1192899621530015,-2.351572669685497
3.1568971236551744,-2.3415252268094506
3.193884485701011,-2.3322803641819134
3.230243816149133,-2.323763147227994
3.265997777646205,-2.316001292161346
3.3011651142748155,-2.308906823616227
3.3357679530166,-2.30247866473894
3.369841646544215,-2.296719419802671
3.403374113066913,-2.2915734607070504
3.436390146842223,-2.28698774765558
3.468939444192435,-2.282946276717235
3.5010435039168932,-2.2794315849671176
3.532709965535389,-2.2764118555350894
3.5639600197135985,-2.27382942095203
3.594833630605743,-2.271644101943322
3.6253701616065985,-2.269833206298709
3.6555903729358765,-2.268374644268144
3.6855096424447584,-2.2672446952906715
3.7151459838192844,-2.266418151802961
3.7445186322351556,-2.26586885805791
