Z,el,Hplus,ions
1e-05,0.00010148231368492271,0.00010002890686284663,5.247109778510302e-10
3.5938136638046256e-05,0.00010135115212454258,9.991495796061946e-05,8.158246900585633e-10
0.0001291549665014884,0.0001008822731287642,9.950097266159767e-05,1.9359424105946945e-09
0.0004641588833612782,9.923691360131661e-05,9.799352626559144e-05,6.732073047292652e-09
0.0016681005372000592,9.38211742412005e-05,9.278785165490612e-05,3.008993381444151e-08
0.005994842503189409,7.795310844130714e-05,7.703021824041059e-05,1.536457024066092e-07
0.021544346900318846,4.200442462831204e-05,4.055834227303705e-05,8.805314908639028e-07
0.07742636826811278,1.3836693429304563e-05,9.237371785238102e-06,4.17566635826821e-06
0.2782559402207126,1.5591020025998123e-05,1.5078673997376098e-06,1.3749250522468013e-05
1.0,4.015669474769828e-05,2.419130776980639e-07,3.9726946190709414e-05
