Z,H2,H
1e-05,0.10107362287479403,0.7978527542504119
3.5938136638046256e-05,0.10314819322355892,0.7937036135528821
0.0001291549665014884,0.11015943527542138,0.7796811294491574
0.0004641588833612782,0.1310514605433222,0.7378970789133555
0.0016681005372000592,0.17872673984991927,0.6425465203001615
0.005994842503189409,0.25560100563064403,0.48879798873871194
0.021544346900318846,0.36080697112371957,0.27838605775256087
0.07742636826811278,0.4542534674978077,0.09149306500438449
0.2782559402207126,0.4872124368640376,0.025575126271924806
1.0,0.49628737189755734,0.007425256204885217
