Z,el,Hplus,ions
1e-05,0.00010147706573110685,0.00010002384700603332,5.250782470765993e-10
3.5938136638046256e-05,0.00010134250227988196,9.990594610958981e-05,8.154981953556529e-10
0.0001291549665014884,0.00010085965582794806,9.947605504464717e-05,1.931173351695017e-09
0.0004641588833612782,9.914241871901592e-05,9.78903220012991e-05,6.6867250180109295e-09
0.0016681005372000592,9.320797129761141e-05,9.214874116397678e-05,2.974236708578519e-08
0.005994842503189409,7.233318757684545e-05,7.134833343192825e-05,1.6162381057905474e-07
0.021544346900318846,1.3944807472948896e-05,1.2335263813674587e-05,1.1745020273516063e-06
0.07742636826811278,5.214872289941122e-06,2.6339938804571703e-06,2.368407026368563e-06
0.2782559402207126,1.0845181067119905e-06,1.0798380144160856e-07,6.808522869507136e-07
1.0,7.910390692913384e-07,2.273890917719245e-08,4.543990202270889e-07
