log(n_H),log(fH2)
-1.1200056924734734,-5.879994307526527
-1.1148325748423944,-5.121893604800421
-1.110478736333665,-4.881325043907168
-1.1095070810768461,-4.7382323046938915
-1.1085354258200277,-4.638172141274968
-1.1075637705632095,-4.562541409393393
-1.106592115306392,-4.502620624345103
-1.1056204600495756,-4.453620345035668
-1.1046488047927603,-4.4126281129363925
-1.1036771495359452,-4.377742105872475
-1.1027054942791301,-4.347652905036174
-1.1017338390223155,-4.321421245461115
-1.1007621837655015,-4.29835097667085
-1.099790528508689,-4.277912111806587
-1.098818873251877,-4.259692139030928
-1.0978472179950647,-4.243363971899116
-1.0968755627382532,-4.228663953837842
-1.0959039074814418,-4.215376552992748
-1.0949322522246319,-4.203323321373047
-1.093960596967822,-4.192354920782121
-1.0929889417110132,-4.182345284307977
-1.092017286454204,-4.173187004792021
-1.0910456311973953,-4.164787846765422
-1.0900739759405877,-4.157067999531263
-1.0891023206837809,-4.149957950183651
-1.0881306654269745,-4.143396892878464
-1.087159010170168,-4.137331348770739
-1.086187354913362,-4.131714090451832
-1.0852156996565563,-4.126503101575873
-1.0842440443997523,-4.12166087714563
-1.0832723891429485,-4.117153864309654
-1.0823007338861448,-4.1129520133854545
-1.0813290786293415,-4.1090282579653525
-1.0803574233725382,-4.105358180179391
-1.079385768115737,-4.101919601286037
-1.078414112858936,-4.0986923526495795
-1.0774424576021349,-4.095658222888573
-1.0764708023453342,-4.092800622445819
-1.0754991470885336,-4.090104422921178
-1.0745274918317351,-4.0875557448904924
-1.0735558365749367,-4.085141859603878
-1.0725841813181385,-4.082851187194835
-1.0716125260613405,-4.080673137728339
-1.0706408708045425,-4.078598001442498
-1.069669215547746,-4.076616823041755
-1.0686975602909505,-4.074721332209907
-1.0677259050341552,-4.072903977162675
-1.06675424977736,-4.071157861189679
-1.065782594520565,-4.069476647432731
-1.064810939263771,-4.067854483336091
-1.0638392840069784,-4.066285928782539
-1.0628676287501861,-4.064766001921226
-1.0618959734933937,-4.06329018723323
-1.060924318236602,-4.061854337001495
-1.0599526629798102,-4.060454630605126
-1.0589810077230206,-4.059087485395628
-1.0580093524662313,-4.057749605611861
-1.057037697209442,-4.056438050861248
-1.0560660419526529,-4.05515012593294
-1.0550943866958642,-4.053883361828003
-1.0541227314390775,-4.05263541874416
-1.0531510761822913,-4.051404127679669
-1.0521794209255053,-4.050187592278864
-1.0512077656687193,-4.048984087698799
-1.0502361104119338,-4.047792039924743
-1.0492644551551498,-4.046609951337264
-1.0482927998983667,-4.045436416346551
-1.0473211446415838,-4.044270217057589
-1.0463494893848013,-4.04311027418507
-1.0453778341280187,-4.041955608012439
-1.0444061788712378,-4.040805285517381
-1.043434523614458,-4.039658405971038
-1.0424628683576782,-4.0385141909058015
-1.0414912131008989,-4.037371985398106
-1.04051955784412,-4.0362311991784185
-1.0395479025873415,-4.035091275092802
-1.0385762473305653,-4.03395164099471
-1.0376045920737893,-4.0328117951415114
-1.0366329368170133,-4.031671356716644
-1.035661281560238,-4.030529985983338
-1.0346896263034626,-4.029387374311485
-1.03371797104669,-4.028243158856454
-1.0327463157899175,-4.027097004943769
-1.0317746605331455,-4.025948704976871
-1.030803005276373,-4.024798076770897
-1.0298313500196017,-4.023644961141044
-1.0288596947628321,-4.022489137971087
-1.0278880395060632,-4.021330384608993
-1.026916384249295,-4.020168583993235
-1.0259447289925268,-4.019003650416359
-1.0249730737357587,-4.0178355118379
-1.0240014184789927,-4.016664046426776
-1.0230297632222276,-4.015489103287385
-1.022058107965463,-4.014310605789975
-1.0210864527086987,-4.013128525521778
-1.0201147974519345,-4.011942841847552
-1.0191431421951718,-4.010753499810176
-1.0181714869384109,-4.009560389836641
-1.0171998316816504,-4.008363448523472
-1.0162281764248897,-4.007162680324559
-1.0152565211681297,-4.0059580938721195
-1.0142848659113708,-4.004749682239478
-1.0133132106546139,-4.003537358218099
-1.0123415553978572,-4.002321055037367
-1.0113699001411012,-4.001100795318631
-1.0103982448843454,-3.9998766037481754
-1.0094265896275898,-3.998648506781432
-1.0084549343708373,-3.9974164317764678
-1.007483279114085,-3.996180303505533
-1.0065116238573333,-3.9949401499531985
-1.005539968600582,-3.9936960043390957
-1.0045683133438306,-3.9924479006098945
-1.0035966580870817,-3.9911957949964476
-1.0026250028303338,-3.9899396176515562
-1.0016533475735865,-3.9886793773697518
-1.0006816923168396,-3.987415111881277
-0.9997100370600931,-3.986146859105814
-0.9987383818033481,-3.984874602422773
-0.9977667265466049,-3.9835982737403475
-0.996795071289862,-3.9823178600688096
-0.9958234160331194,-3.9810334016667004
-0.9948517607763776,-3.979744938726285
-0.9938801055196367,-3.978452481719911
-0.992908450262898,-3.9771559620576697
-0.9919367950061599,-3.9758553436474497
-0.9909651397494221,-3.9745506684055965
-0.9899934844926849,-3.9732419780707016
-0.9890218292359482,-3.9719293110613982
-0.9880501739792145,-3.9706125967133588
-0.9870785187224813,-3.9692917751633687
-0.9861068634657484,-3.967966889665499
-0.9851352082090159,-3.9666379832500835
-0.9841635529522839,-3.965305098720245
-0.9831918976955549,-3.963968188830301
-0.9822202424388266,-3.9626271908612236
-0.9812485871820988,-3.9612821261252287
-0.9802769319253716,-3.9599330388907954
-0.9793052766686448,-3.958579973180951
-0.9783336214119197,-3.95722291056108
-0.9773619661551965,-3.955861786147497
-0.976390310898474,-3.9544965964407846
-0.9754186556417519,-3.953127386965335
-0.9744470003850302,-3.951754202986833
-0.9734753451283098,-3.9503770566552507
-0.9725036898715917,-3.9489958796874802
-0.9715320346148744,-3.947610643443445
-0.9705603793581575,-3.946221394740526
-0.9695887241014413,-3.944828180123648
-0.9686170688447253,-3.9434310442166742
-0.9676454135880128,-3.942029914085045
-0.9666737583313009,-3.9406247356753674
-0.9657021030745894,-3.9392155571393723
-0.9647304478178784,-3.9378024263405997
-0.9637587925611681,-3.9363853908545905
-0.9627871373044604,-3.934964407925937
-0.9618154820477539,-3.933539420046983
-0.9608438267910482,-3.932110449659316
-0.9598721715343427,-3.930677545982483
-0.9589005162776377,-3.929240757930097
-0.9579288610209348,-3.927800077660845
-0.9569572057642342,-3.926355442637991
-0.9559855505075336,-3.9249068483424807
-0.9550138952508339,-3.923454345386666
-0.9540422399941347,-3.9219979840568544
-0.9530705847374366,-3.9205377937959187
-0.9520989294807415,-3.9190737054125484
-0.9511272742240467,-3.917605686947995
-0.9501556189673527,-3.9161337904451474
-0.9491839637106593,-3.914658067598621
-0.9482123084539664,-3.91317856975533
-0.9472406531972763,-3.9116952404106056
-0.9462689979405876,-3.910208031448569
-0.9452973426838993,-3.9087169814096194
-0.9443256874272116,-3.907222143434652
-0.9433540321705243,-3.905723570292865
-0.9423823769138391,-3.904221246774002
-0.9414107216571562,-3.90271511700157
-0.9404390664004735,-3.9012051898110247
-0.9394674111437916,-3.8996915198305158
-0.9384957558871102,-3.898174161290212
-0.9375241006304299,-3.896653143377715
-0.9365524453737527,-3.8951284003320557
-0.9355807901170761,-3.8935999105961114
-0.9346091348604002,-3.8920677303294076
-0.9336374796037246,-3.890531915264903
-0.9326658243470495,-3.8889925207103775
-0.9316941690903776,-3.887449495230181
-0.9307225138337067,-3.885902798293549
-0.9297508585770365,-3.884352470581539
-0.9287792033203666,-3.8827985693756712
-0.9278075480636975,-3.881241151501758
-0.9268358928070302,-3.8796802161565216
-0.9258642375503648,-3.878115710504298
-0.9248925822937003,-3.87654764171732
-0.9239209270370363,-3.8749760686750845
-0.922949271780373,-3.873401049768044
-0.9219776165237099,-3.8718226389397428
-0.9210059612670504,-3.870240768144705
-0.9200343060103917,-3.8686554101319763
-0.9190626507537332,-3.867066625431633
-0.9180909954970753,-3.86547447404854
-0.9171193402404181,-3.8638790154650624
-0.9161476849837628,-3.8622802336208957
-0.9151760297271094,-3.860678087053121
-0.9142043744704565,-3.8590726000734312
-0.9132327192138044,-3.857463834354692
-0.9122610639571525,-3.8558518510085142
-0.9112894087005012,-3.8542366978777123
-0.9103177534438532,-3.852618313750948
-0.9093460981872057,-3.850996684561689
-0.9083744429305585,-3.8493718737064624
-0.9074027876739118,-3.8477439439785157
-0.9064311324172656,-3.846112957571483
-0.9054594771606215,-3.844478903373438
-0.9044878219039792,-3.842841746045785
-0.9035161666473371,-3.841201513581311
-0.9025445113906954,-3.8395582705101217
-0.9015728561340539,-3.837912080717877
-0.9006012008774134,-3.8362630074495727
-0.8996295456207755,-3.834610988199002
-0.8986578903641382,-3.8329560132513425
-0.8976862351075013,-3.831298145758956
-0.8967145798508646,-3.829637451352185
-0.8957429245942283,-3.82797399497341
-0.894771269337593,-3.826307796808549
-0.8937996140809603,-3.8246388174700363
-0.8928279588243277,-3.82296707364948
-0.8918563035676951,-3.8212926327765144
-0.8908846483110631,-3.8196155615410885
-0.889912993054431,-3.817935925899052
-0.888941337797801,-3.816253711656027
-0.8879696825411723,-3.8145688995562783
-0.8869980272845439,-3.8128815304410457
-0.8860263720279153,-3.811191672798937
-0.885054716771287,-3.809499394329882
-0.8840830615146589,-3.8078047619514
-0.8831114062580326,-3.806107746514903
-0.8821397510014072,-3.804408354357462
-0.8811680957447813,-3.8027066446680506
-0.8801964404881557,-3.801002686929298
-0.8792247852315298,-3.7992965497815145
-0.8782531299749043,-3.7975883010298546
-0.8772814747182809,-3.7958778989837043
