log(n_H),log(fH2)
-1.1200056924734734,-5.879994307526527
-1.1204934164626312,-4.3289252792532835
-1.1161395773985705,-4.0338397023282475
-1.1117857377061566,-3.858425614152253
-1.1074318972990083,-3.7328983273400365
-1.1030780562043647,-3.6349487495176227
-1.098724214536514,-3.5545473179962173
-1.0943703724618323,-3.486313545370611
-1.0900165301640583,-3.427022786052079
-1.085662687816778,-3.3745883959714704
-1.0813088455655016,-3.3275815883617006
-1.0769550035196642,-3.284980646899176
-1.0726011617509168,-3.246029351470246
-1.068247320298873,-3.210152359381326
-1.063893479177294,-3.1769018159303113
-1.0595396383808635,-3.145921229223884
-1.05518579789246,-3.1169224533820126
-1.0508319576887655,-3.0896699649991226
-1.0464781177440234,-3.063967591466801
-1.0421242780326199,-3.0396504546232728
-1.0377704385306508,-3.016579563387479
-1.0334165992164601,-2.9946350697642425
-1.0290627600709945,-2.973714204957593
-1.0247089210766156,-2.9537273422732957
-1.0203550822176346,-2.934596363714992
-1.0160012434805976,-2.9162520603343434
-1.011647404853923,-2.8986336126588745
-1.0072935663274698,-2.8816867143106975
-1.0029397278922878,-2.8653630767199068
-0.9985858895410414,-2.849619135268263
-0.9942320512680451,-2.834415919763959
-0.9898782130676014,-2.819718354724888
-0.9855243749340457,-2.805494386285858
-0.9811705368613144,-2.791715081814479
-0.9768166988439204,-2.778353859973307
-0.9724628608768205,-2.765386481821635
-0.9681090229553089,-2.752790818821945
-0.9637551850749227,-2.7405462411475066
-0.9594013472314773,-2.728634055164449
-0.9550475094209928,-2.717036796546825
-0.950693671639709,-2.705738365882021
-0.9463398338840824,-2.694723963469702
-0.941985996150737,-2.6839795861027196
-0.9376321584365136,-2.673492466624771
-0.9332783207384062,-2.6632504547101425
-0.9289244830535927,-2.653242457596883
-0.9245706453793874,-2.643457862699144
-0.9202168077132923,-2.6338869682899437
-0.9158629700529473,-2.6245204497982124
-0.9115091323961705,-2.615349772209867
-0.9071552947409118,-2.6063666993796026
-0.9028014570852876,-2.5975636822572272
-0.8984476194275374,-2.588933411337687
-0.8940937817660551,-2.5804691765231675
-0.8897399440993476,-2.5721644626264
-0.8853861064260654,-2.5640132779379288
