Z,H2,H
1e-05,0.10109592596961321,0.7978081480607736
3.5938136638046256e-05,0.10310486521153935,0.7937902695769212
0.0001291549665014884,0.10985865642516716,0.7802826871496658
0.0004641588833612782,0.1296171070805018,0.7407657858389964
0.0016681005372000592,0.17210186946244227,0.6557962610751155
0.005994842503189409,0.23117154917474664,0.5376569016505066
0.021544346900318846,0.3530370919659224,0.2939258160681551
0.07742636826811278,0.459104317782402,0.08179136443519608
0.2782559402207126,0.4897208762587907,0.02055824748241866
1.0,0.49728654246932685,0.0054269150613462805
